Command,RegisterAddress,Timestamp,DataElement0
2,10,2071880.671488,225
1,32,2071880.671520,1
3,34,2071880.670656,1647,6389,5119,5,36,18,-547,235,-19,5
1,0,2071880.672544,1056
1,33,2071880.673504,0
1,1,2071880.674496,1
1,34,2071880.675488,1647,6389,5119,5,36,18,-547,235,-19,5
1,2,2071880.676480,1
3,34,2071880.675776,1710,6379,5022,-2,74,33,-547,235,-19,6
1,35,2071880.677536,147
1,3,2071880.678496,0
1,36,2071880.679488,0
1,4,2071880.680480,1
3,37,2071880.681120,1
1,37,2071880.681504,1
3,34,2071880.680672,1630,6395,5105,-1,75,47,-542,236,-22,7
1,5,2071880.682560,4
1,38,2071880.683488,1
1,6,2071880.684480,1
